station_name,Lon,Lat,station_id,base_attractiveness_score_VERY_EARLY_MORNING,base_attractiveness_score_EARLY_AM,base_attractiveness_score_AM_PEAK,base_attractiveness_score_MIDDAY_BASE,base_attractiveness_score_MIDDAY_SCHOOL,base_attractiveness_score_PM_PEAK,base_attractiveness_score_EVENING,base_attractiveness_score_LATE_EVENING,base_attractiveness_score_NIGHT
Allston Street,-71.13801669,42.3487252,3,0.273813625,0.259142645,0.248057024,0.261690243,0.28705537,0.295996464,0.297443446,0.300126663,0.305475106
Arlington,-71.07096127,42.35182125,6,0.714852566,0.732646716,0.763840237,0.798994488,0.758340575,0.738969962,0.7713336,0.781299797,0.784206522
Babcock Street,-71.12183062,42.35184066,9,0.335306409,0.32342261,0.312128596,0.320177181,0.332488693,0.345969645,0.361952907,0.376812933,0.395112656
Back of the Hill,-71.11100533,42.32943019,11,0.239461458,0.225642069,0.213315894,0.227987497,0.253626169,0.262203454,0.256248755,0.252228502,0.252858034
Beaconsfield,-71.14058364,42.33580371,13,0.316165801,0.303510755,0.290128298,0.30105404,0.326119766,0.338530536,0.332193372,0.326529076,0.322308547
Washington Square,-71.13480835,42.33951239,108,0.253410515,0.240410854,0.230026893,0.242557143,0.266371943,0.277848604,0.276354109,0.277260801,0.28143376
Blandford Street,-71.10009323,42.34922874,14,0.407680277,0.39002306,0.385185797,0.399173763,0.413916898,0.42606517,0.442563936,0.464828052,0.483120086
Brandon Hall,-71.12883419,42.34002244,22,0.318924068,0.304189325,0.290398501,0.300704659,0.322123788,0.336051206,0.337331312,0.341562898,0.348032282
Boylston,-71.0645968,42.3529858,20,0.796359172,0.813240366,0.857271598,0.873421493,0.835514363,0.810072364,0.832083615,0.841779561,0.840534053
Packards Corner,-71.12531664,42.35174607,76,0.344632271,0.330203668,0.317814673,0.33087602,0.348826154,0.36202279,0.375629287,0.387802703,0.401962161
Brookline Hills,-71.12645639,42.33128544,25,0.346463786,0.334264549,0.31841251,0.323427552,0.344298512,0.357332045,0.353175455,0.348438236,0.345074722
Brigham Circle,-71.10436652,42.3343322,23,0.266254325,0.250380829,0.236781111,0.250891931,0.27612284,0.282918176,0.280577409,0.281886353,0.279454653
Boston University Central,-71.1071882,42.35007803,16,0.356389279,0.34310466,0.338087683,0.351361106,0.367465469,0.379324434,0.398703093,0.419067093,0.441894592
Boston University East,-71.10431551,42.34972697,17,0.412431582,0.396851455,0.391618938,0.404916745,0.417340973,0.430693561,0.448740386,0.470042212,0.48951504
Boston University West,-71.11336671,42.35082318,18,0.361497767,0.349136496,0.342807155,0.353578814,0.367160247,0.380164174,0.400208223,0.420318721,0.442566879
Brookline Village,-71.11690393,42.33258766,26,0.300658871,0.28867005,0.275733589,0.284198068,0.309757921,0.321394111,0.317537949,0.311675197,0.308157269
