Time,Academ,Alfier,Alumni,Baird,Baldy,Bell,Bonner,Capen,CFA,Clemen,Cooke,Davis,Frnczk,Furnas,Grein,Hoch,Jacobs,Jarvis,Ketter,Knox,Math,Norton,Nsc,Obrian,Park,Slee,Spaulding,Talbrt,Wilkeson,Grand Total
8AM,102,180,0,0,328,11,0,44,0,385,477,147,190,59,0,230,116,0,0,72,0,0,718,218,157,0,0,299,0,3746
9AM,361,361,148,448,1012,203,27,353,614,1223,904,258,594,80,32,609,429,5,17,1233,195,846,3261,1434,245,0,0,550,0,15455
10AM,1178,523,674,809,1815,383,42,932,1325,2481,1108,554,706,293,71,792,1041,5,13,3489,319,1353,5755,2044,1012,0,0,1106,125,30000
11AM,540,474,589,46,5000,690,46,1667,1321,5345,946,99,1823,345,271,344,1394,229,26,1442,690,2043,2194,1425,1278,10,0,945,300,31599
12PM,836,446,571,0,4506,348,50,960,922,4765,1744,250,880,274,44,219,968,224,26,1734,1007,1658,1214,1021,642,10,0,981,121,26452
1PM,341,446,406,75,3482,708,51,1357,1475,3259,1757,434,1015,302,176,692,1798,137,120,889,379,938,3115,1642,1500,106,80,1189,485,28405
2PM,917,300,427,103,2448,473,37,968,1471,2297,1027,148,1123,238,16,535,1545,71,4,1424,295,2606,3547,2604,952,0,80,768,266,26726
3PM,1120,431,409,92,1640,403,14,554,645,2004,1314,123,1474,199,16,567,1331,71,18,851,286,1871,3792,1915,594,0,80,731,229,22835
4PM,669,509,259,106,1420,161,117,518,787,1404,869,140,676,316,16,395,1249,26,35,548,70,512,3161,1274,753,17,80,877,162,17157
5PM,354,129,112,48,1262,161,50,534,626,712,286,105,388,149,13,264,1102,21,44,648,141,616,634,486,492,101,53,822,24,10421
6PM,347,81,662,85,1149,149,50,266,249,716,393,32,445,102,13,268,1049,21,44,621,124,287,1087,908,399,48,53,769,24,10539
7PM,104,434,96,202,759,34,0,263,209,468,311,26,288,92,0,73,578,0,23,152,0,150,1330,715,266,36,53,322,43,7097
8PM,47,434,107,131,395,68,0,85,173,338,33,26,168,92,0,70,513,0,0,112,0,26,544,492,177,36,0,55,0,4192
9PM,0,434,0,0,314,34,0,47,0,263,1,0,123,0,0,70,459,0,0,112,0,0,0,82,157,0,0,55,0,2221
10PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
