Building,Time,Weekday,Student_Count_Building
Academ,8:00,Thursday,51
Alfier,8:00,Thursday,90
Baldy,8:00,Thursday,75
Clemen,8:00,Thursday,99
Davis,8:00,Thursday,21
Frnczk,8:00,Thursday,80
Furnas,8:00,Thursday,18
Hoch,8:00,Thursday,105
Jacobs,8:00,Thursday,18
Nsc,8:00,Thursday,249
Obrian,8:00,Thursday,23
Talbrt,8:00,Thursday,88
Ubcmns,8:00,Thursday,3
Academ,8:00,Tuesday,51
Alfier,8:00,Tuesday,90
Baldy,8:00,Tuesday,85
Bell,8:00,Tuesday,11
Clemen,8:00,Tuesday,136
Cooke,8:00,Tuesday,20
Davis,8:00,Tuesday,21
Frnczk,8:00,Tuesday,46
Furnas,8:00,Tuesday,34
Hoch,8:00,Tuesday,104
Nsc,8:00,Tuesday,249
Obrian,8:00,Tuesday,23
Park,8:00,Tuesday,82
Talbrt,8:00,Tuesday,113
Ubcmns,8:00,Tuesday,3
Academ,8:15,Thursday,51
Alfier,8:15,Thursday,90
Baldy,8:15,Thursday,75
Clemen,8:15,Thursday,99
Cooke,8:15,Thursday,24
Davis,8:15,Thursday,21
Frnczk,8:15,Thursday,80
Furnas,8:15,Thursday,18
Hoch,8:15,Thursday,105
Jacobs,8:15,Thursday,18
Nsc,8:15,Thursday,249
Obrian,8:15,Thursday,23
Talbrt,8:15,Thursday,88
Ubcmns,8:15,Thursday,3
Academ,8:15,Tuesday,51
Alfier,8:15,Tuesday,90
Baldy,8:15,Tuesday,85
Bell,8:15,Tuesday,11
Clemen,8:15,Tuesday,136
Cooke,8:15,Tuesday,44
Davis,8:15,Tuesday,21
Frnczk,8:15,Tuesday,46
Furnas,8:15,Tuesday,34
Hoch,8:15,Tuesday,104
Nsc,8:15,Tuesday,249
Obrian,8:15,Tuesday,23
Park,8:15,Tuesday,82
Talbrt,8:15,Tuesday,113
Ubcmns,8:15,Tuesday,3
Academ,8:30,Thursday,51
Alfier,8:30,Thursday,90
Alumni,8:30,Thursday,3
Baldy,8:30,Thursday,75
Clemen,8:30,Thursday,99
Cooke,8:30,Thursday,24
Davis,8:30,Thursday,21
Frnczk,8:30,Thursday,136
Furnas,8:30,Thursday,18
Hoch,8:30,Thursday,123
Jacobs,8:30,Thursday,18
Nsc,8:30,Thursday,249
Obrian,8:30,Thursday,34
Talbrt,8:30,Thursday,88
Ubcmns,8:30,Thursday,3
Academ,8:30,Tuesday,51
Alfier,8:30,Tuesday,90
Alumni,8:30,Tuesday,3
Baldy,8:30,Tuesday,85
Bell,8:30,Tuesday,11
Capen,8:30,Tuesday,24
Clemen,8:30,Tuesday,136
Cooke,8:30,Tuesday,50
Davis,8:30,Tuesday,21
Frnczk,8:30,Tuesday,46
Furnas,8:30,Tuesday,34
Hoch,8:30,Tuesday,125
Nsc,8:30,Tuesday,249
Obrian,8:30,Tuesday,34
Park,8:30,Tuesday,82
Talbrt,8:30,Tuesday,113
Ubcmns,8:30,Tuesday,3
Academ,8:45,Thursday,51
Alfier,8:45,Thursday,90
Alumni,8:45,Thursday,3
Baldy,8:45,Thursday,51
Clemen,8:45,Thursday,99
Cooke,8:45,Thursday,24
Davis,8:45,Thursday,21
Frnczk,8:45,Thursday,101
Furnas,8:45,Thursday,18
Hoch,8:45,Thursday,99
Nsc,8:45,Thursday,249
Obrian,8:45,Thursday,34
Talbrt,8:45,Thursday,65
Ubcmns,8:45,Thursday,3
Academ,8:45,Tuesday,51
Alfier,8:45,Tuesday,90
Alumni,8:45,Tuesday,3
Baldy,8:45,Tuesday,85
Capen,8:45,Tuesday,24
Clemen,8:45,Tuesday,136
Cooke,8:45,Tuesday,30
Davis,8:45,Tuesday,21
Frnczk,8:45,Tuesday,45
Furnas,8:45,Tuesday,34
Hoch,8:45,Tuesday,102
Nsc,8:45,Tuesday,249
Obrian,8:45,Tuesday,34
Talbrt,8:45,Tuesday,65
Ubcmns,8:45,Tuesday,3
Academ,9:00,Friday,46
Alfier,9:00,Friday,25
Baird,9:00,Friday,64
Baldy,9:00,Friday,212
Bell,9:00,Friday,59
Bonner,9:00,Friday,11
Capen,9:00,Friday,89
Clemen,9:00,Friday,281
Cooke,9:00,Friday,312
Davis,9:00,Friday,72
Frnczk,9:00,Friday,101
Hoch,9:00,Friday,136
Jacobs,9:00,Friday,153
Knox,9:00,Friday,387
Math,9:00,Friday,65
Norton,9:00,Friday,232
Nsc,9:00,Friday,827
Obrian,9:00,Friday,105
Park,9:00,Friday,60
Talbrt,9:00,Friday,108
Ubcmns,9:00,Friday,7
Academ,9:00,Monday,102
Alfier,9:00,Monday,78
Alumni,9:00,Monday,47
Baird,9:00,Monday,64
Baldy,9:00,Monday,299
Bell,9:00,Monday,74
CFA,9:00,Monday,90
Capen,9:00,Monday,119
Cfa,9:00,Monday,45
Clemen,9:00,Monday,300
Cooke,9:00,Monday,245
Davis,9:00,Monday,72
Frnczk,9:00,Monday,59
Grein,9:00,Monday,32
Hoch,9:00,Monday,136
Jacobs,9:00,Monday,113
Knox,9:00,Monday,423
Math,9:00,Monday,65
Norton,9:00,Monday,311
Nsc,9:00,Monday,827
Obrian,9:00,Monday,349
Park,9:00,Monday,66
Talbrt,9:00,Monday,152
Academ,9:00,Thursday,69
Alfier,9:00,Thursday,90
Alumni,9:00,Thursday,26
Baird,9:00,Thursday,128
Baldy,9:00,Thursday,51
Bonner,9:00,Thursday,8
CFA,9:00,Thursday,110
Cfa,9:00,Thursday,62
Clemen,9:00,Thursday,134
Cooke,9:00,Thursday,24
Davis,9:00,Thursday,21
Frnczk,9:00,Thursday,140
Furnas,9:00,Thursday,18
Hoch,9:00,Thursday,99
Jacobs,9:00,Thursday,48
Nsc,9:00,Thursday,320
Obrian,9:00,Thursday,265
Park,9:00,Thursday,21
Talbrt,9:00,Thursday,78
Ubcmns,9:00,Thursday,3
Academ,9:00,Tuesday,88
Alfier,9:00,Tuesday,90
Alumni,9:00,Tuesday,26
Baird,9:00,Tuesday,128
Baldy,9:00,Tuesday,100
Bell,9:00,Tuesday,10
Bonner,9:00,Tuesday,8
CFA,9:00,Tuesday,110
Capen,9:00,Tuesday,54
Cfa,9:00,Tuesday,62
Clemen,9:00,Tuesday,136
Cooke,9:00,Tuesday,30
Davis,9:00,Tuesday,21
Frnczk,9:00,Tuesday,125
Furnas,9:00,Tuesday,34
Hoch,9:00,Tuesday,102
Jacobs,9:00,Tuesday,27
Nsc,9:00,Tuesday,370
Obrian,9:00,Tuesday,319
Park,9:00,Tuesday,8
Talbrt,9:00,Tuesday,78
Ubcmns,9:00,Tuesday,3
Academ,9:00,Wednesday,56
Alfier,9:00,Wednesday,78
Alumni,9:00,Wednesday,49
Baird,9:00,Wednesday,64
Baldy,9:00,Wednesday,242
Bell,9:00,Wednesday,60
CFA,9:00,Wednesday,90
Capen,9:00,Wednesday,91
Cfa,9:00,Wednesday,45
Clemen,9:00,Wednesday,372
Cooke,9:00,Wednesday,293
Davis,9:00,Wednesday,72
Frnczk,9:00,Wednesday,169
Furnas,9:00,Wednesday,28
Hoch,9:00,Wednesday,136
Jacobs,9:00,Wednesday,88
Jarvis,9:00,Wednesday,5
Ketter,9:00,Wednesday,17
Knox,9:00,Wednesday,423
Math,9:00,Wednesday,65
Norton,9:00,Wednesday,303
Nsc,9:00,Wednesday,917
Obrian,9:00,Wednesday,396
Park,9:00,Wednesday,90
Talbrt,9:00,Wednesday,134
Academ,9:15,Friday,46
Alfier,9:15,Friday,25
Baird,9:15,Friday,64
Baldy,9:15,Friday,212
Bell,9:15,Friday,59
Bonner,9:15,Friday,11
Capen,9:15,Friday,121
Clemen,9:15,Friday,281
Cooke,9:15,Friday,311
Davis,9:15,Friday,72
Frnczk,9:15,Friday,101
Hoch,9:15,Friday,136
Jacobs,9:15,Friday,153
Knox,9:15,Friday,387
Math,9:15,Friday,65
Norton,9:15,Friday,232
Nsc,9:15,Friday,827
Obrian,9:15,Friday,105
Park,9:15,Friday,60
Talbrt,9:15,Friday,142
Ubcmns,9:15,Friday,7
Academ,9:15,Monday,102
Alumni,9:15,Monday,47
Baird,9:15,Monday,64
Baldy,9:15,Monday,299
Bell,9:15,Monday,74
CFA,9:15,Monday,90
Capen,9:15,Monday,151
Cfa,9:15,Monday,45
Clemen,9:15,Monday,300
Cooke,9:15,Monday,244
Davis,9:15,Monday,72
Frnczk,9:15,Monday,59
Grein,9:15,Monday,32
Hoch,9:15,Monday,136
Jacobs,9:15,Monday,76
Knox,9:15,Monday,387
Math,9:15,Monday,65
Norton,9:15,Monday,311
Nsc,9:15,Monday,827
Obrian,9:15,Monday,319
Park,9:15,Monday,66
Talbrt,9:15,Monday,186
Academ,9:15,Thursday,18
Alumni,9:15,Thursday,26
Baird,9:15,Thursday,128
Baldy,9:15,Thursday,51
Bonner,9:15,Thursday,8
CFA,9:15,Thursday,110
Cfa,9:15,Thursday,62
Clemen,9:15,Thursday,35
Cooke,9:15,Thursday,24
Frnczk,9:15,Thursday,39
Furnas,9:15,Thursday,18
Hoch,9:15,Thursday,18
Jacobs,9:15,Thursday,48
Nsc,9:15,Thursday,71
Obrian,9:15,Thursday,247
Park,9:15,Thursday,21
Talbrt,9:15,Thursday,48
Academ,9:15,Tuesday,37
Alumni,9:15,Tuesday,26
Baird,9:15,Tuesday,128
Baldy,9:15,Tuesday,65
Bell,9:15,Tuesday,10
Bonner,9:15,Tuesday,8
CFA,9:15,Tuesday,110
Capen,9:15,Tuesday,30
Cfa,9:15,Tuesday,62
Cooke,9:15,Tuesday,24
Frnczk,9:15,Tuesday,80
Furnas,9:15,Tuesday,34
Hoch,9:15,Tuesday,21
Jacobs,9:15,Tuesday,27
Nsc,9:15,Tuesday,121
Obrian,9:15,Tuesday,301
Park,9:15,Tuesday,8
Talbrt,9:15,Tuesday,48
Academ,9:15,Wednesday,56
Alumni,9:15,Wednesday,49
Baird,9:15,Wednesday,64
Baldy,9:15,Wednesday,242
Bell,9:15,Wednesday,60
CFA,9:15,Wednesday,90
Capen,9:15,Wednesday,123
Cfa,9:15,Wednesday,45
Clemen,9:15,Wednesday,372
Cooke,9:15,Wednesday,292
Davis,9:15,Wednesday,72
Frnczk,9:15,Wednesday,169
Furnas,9:15,Wednesday,28
Hoch,9:15,Wednesday,136
Jacobs,9:15,Wednesday,51
Jarvis,9:15,Wednesday,5
Ketter,9:15,Wednesday,17
Knox,9:15,Wednesday,387
Math,9:15,Wednesday,65
Norton,9:15,Wednesday,303
Nsc,9:15,Wednesday,917
Obrian,9:15,Wednesday,366
Park,9:15,Wednesday,90
Talbrt,9:15,Wednesday,168
Academ,9:30,Friday,46
Alfier,9:30,Friday,25
Baird,9:30,Friday,64
Baldy,9:30,Friday,239
Bell,9:30,Friday,59
Bonner,9:30,Friday,18
Capen,9:30,Friday,121
Clemen,9:30,Friday,281
Cooke,9:30,Friday,311
Davis,9:30,Friday,72
Frnczk,9:30,Friday,111
Hoch,9:30,Friday,136
Jacobs,9:30,Friday,153
Knox,9:30,Friday,387
Math,9:30,Friday,65
Norton,9:30,Friday,232
Nsc,9:30,Friday,827
Obrian,9:30,Friday,105
Park,9:30,Friday,60
Talbrt,9:30,Friday,182
Ubcmns,9:30,Friday,7
Academ,9:30,Monday,127
Alfier,9:30,Monday,98
Alumni,9:30,Monday,47
Baird,9:30,Monday,64
Baldy,9:30,Monday,354
Bell,9:30,Monday,74
CFA,9:30,Monday,90
Capen,9:30,Monday,163
Cfa,9:30,Monday,45
Clemen,9:30,Monday,347
Cooke,9:30,Monday,244
Davis,9:30,Monday,72
Frnczk,9:30,Monday,65
Grein,9:30,Monday,32
Hoch,9:30,Monday,136
Jacobs,9:30,Monday,237
Knox,9:30,Monday,387
Math,9:30,Monday,65
Norton,9:30,Monday,311
Nsc,9:30,Monday,827
Obrian,9:30,Monday,282
Park,9:30,Monday,89
Talbrt,9:30,Monday,186
Academ,9:30,Thursday,356
Alfier,9:30,Thursday,139
Alumni,9:30,Thursday,98
Baird,9:30,Thursday,163
Baldy,9:30,Thursday,324
Bell,9:30,Thursday,67
Bonner,9:30,Thursday,8
CFA,9:30,Thursday,110
Capen,9:30,Thursday,136
Cfa,9:30,Thursday,62
Clemen,9:30,Thursday,527
Cooke,9:30,Thursday,284
Davis,9:30,Thursday,97
Frnczk,9:30,Thursday,144
Furnas,9:30,Thursday,68
Grein,9:30,Thursday,1
Hoch,9:30,Thursday,146
Jacobs,9:30,Thursday,170
Knox,9:30,Thursday,685
Math,9:30,Thursday,97
Norton,9:30,Thursday,339
Nsc,9:30,Thursday,1084
Obrian,9:30,Thursday,451
Park,9:30,Thursday,190
Talbrt,9:30,Thursday,209
Ubcmns,9:30,Thursday,23
Wilkeson,9:30,Thursday,25
Academ,9:30,Tuesday,380
Alfier,9:30,Tuesday,139
Alumni,9:30,Tuesday,98
Baird,9:30,Tuesday,163
Baldy,9:30,Tuesday,350
Bell,9:30,Tuesday,77
Bonner,9:30,Tuesday,8
CFA,9:30,Tuesday,110
Capen,9:30,Tuesday,206
Cfa,9:30,Tuesday,62
Clemen,9:30,Tuesday,533
Cooke,9:30,Tuesday,284
Davis,9:30,Tuesday,97
Frnczk,9:30,Tuesday,185
Furnas,9:30,Tuesday,34
Grein,9:30,Tuesday,38
Hoch,9:30,Tuesday,151
Jacobs,9:30,Tuesday,137
Knox,9:30,Tuesday,685
Math,9:30,Tuesday,97
Norton,9:30,Tuesday,322
Nsc,9:30,Tuesday,1134
Obrian,9:30,Tuesday,532
Park,9:30,Tuesday,185
Talbrt,9:30,Tuesday,209
Ubcmns,9:30,Tuesday,23
Wilkeson,9:30,Tuesday,25
Academ,9:30,Wednesday,81
Alfier,9:30,Wednesday,98
Alumni,9:30,Wednesday,49
Baird,9:30,Wednesday,64
Baldy,9:30,Wednesday,297
Bell,9:30,Wednesday,60
CFA,9:30,Wednesday,90
Capen,9:30,Wednesday,135
Cfa,9:30,Wednesday,45
Clemen,9:30,Wednesday,419
Cooke,9:30,Wednesday,292
Davis,9:30,Wednesday,72
Frnczk,9:30,Wednesday,185
Furnas,9:30,Wednesday,28
Hoch,9:30,Wednesday,136
Jacobs,9:30,Wednesday,212
Jarvis,9:30,Wednesday,5
Ketter,9:30,Wednesday,17
Knox,9:30,Wednesday,387
Math,9:30,Wednesday,65
Norton,9:30,Wednesday,303
Nsc,9:30,Wednesday,917
Obrian,9:30,Wednesday,360
Park,9:30,Wednesday,114
Talbrt,9:30,Wednesday,208
Wilkeson,9:30,Wednesday,11
Academ,9:45,Monday,81
Alfier,9:45,Monday,98
Alumni,9:45,Monday,25
Baldy,9:45,Monday,74
CFA,9:45,Monday,90
Capen,9:45,Monday,65
Cfa,9:45,Monday,45
